"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Ash Valley","2214	","California","SCAN","Lassen","5097","41.05204","-120.6872","180200021404	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","7",,,"175","175","64","140","140","3","100","1","5","Highest",,,"4","4","1","7","2015, 2021","2022","5"
"Ashley Divide","1165	","Montana","SNOLITE","Flathead","4820","48.20161","-114.51495","170102080108	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","14",,,"117","140","88","48","47","4","75","2","4","2nd Highest",,,"12","10","6","21","2019","2018","5"
"Atigun Pass","957	","Alaska","SNOTEL","North Slope","4800","68.12983","-149.47817","190802010102	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"32","36","15","44","2010","2016","13"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7580","43.7569","-115.23907","170501110204	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","67",,,"131","126","92","71","75","14","92","3","23",,,,"51","53","29","87","1997","2006","25"
"Azure","1E08P	","British Columbia","Cooperator Snow Sensors","	","5331","52.58333","-119.71667","	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"73","72","43","93","2011","2019","14"
"Badger Pass","307	","Montana","SNOTEL","Pondera","6900","48.13088","-113.02317","100302010201	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","40",,,"91","82","87","44","44","-9","38","14","9",,,,"44","49","0","59","2000","2007, 2010, 2014","22"
"Baker Butte","308	","Arizona","SNOTEL","Gila","7300","34.4566","-111.40643","150602030206	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","10",,,"100","100","91","40","38","0","53","9","9",,,,"10","10","0","22","2018, 2021","2020","18"
"Baker Butte Smt","1140	","Arizona","SNOTEL","Coconino","7700","34.45547","-111.38272","150602030103	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","19",,,"106","100","95","45","42","0","58","6","7",,,,"18","19","0","35","2018","2020","13"
"Bald Mtn AM","1240	","Nevada","SNOLITE","Washoe","6720","41.78333","-119.61667","160402040101	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","0",,,"0",,"0","0","0","0","50","3","1","Lowest",,,"2","0","0","9","2018, 2021, 2022","2019","5"
"Bald Mtn AM OR","447	","Oregon","SNOLITE","Union","6700","45.21158","-117.6626","170601040504	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","51",,,"111","104","96","48","48","2","100","1","4","Highest",,,"46","49","37","51","2020","2022","4"
"Bald Mtn.","309	","Wyoming","SNOTEL","Big Horn","9380","44.8007","-107.84442","100800100501	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","31",,,"84","84","97","42","45","-6","11","17","3",,,,"37","37","19","53","2016","2014","19"
"Baldy","310	","Arizona","SNOTEL","Apache","9125","33.97883","-109.50344","150200010203	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","22",,,"169","147","79","42","71","7","95","2","18","2nd Highest",,,"13","15","0","27","2018","2009","20"
"Banfield Mountain","311	","Montana","SNOTEL","Lincoln","5600","48.5712","-115.44573","170101011202	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","38",,,"119","115","86","61","63","5","95","2","18","2nd Highest",,,"32","33","11","44","2005","2007","21"
"Banner Summit","312	","Idaho","SNOTEL","Boise","7040","44.30342","-115.23447","170501200202	","January 3, 2022, end of day ","1-04-2022, 08:05 AM MST","62",,,"138","141","89","76","77","18","90","3","20",,,,"45","44","27","72","2001, 2010","2006","22"
