"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn","301	","California","SNOTEL","Modoc","6190","41.23583","-120.79192","180200021403	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"133","178","100","38","37","7","70","8","17",,,,"12","9","1","25","2008, 2017","2009","24"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8900","37.52217","-112.27118","160300020301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"50","67","80","11","11","-2","30","17","6",,,,"8","6","0","22","2002, 2012, 2017, more","2009","24"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"12","13","0","19","2016","2019","5"
"Albro Lake","916	","Montana","SNOTEL","Madison","8300","45.59723","-111.95902","100200050701	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","26",,,"100","108","93","37","37","2","60","11","15",,,,"26","24","13","46","2002","1996","26"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","160","61.74967","-150.88967","190205051106	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","18",,,"112","100","72","50","47","0","57","4","5",,,,"16","18","3","24","2016","2015","8"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","20",,,"80","83","91","17","16","-4","41","11","7",,,,"25","24","0","61","2014","2016","18"
"Althouse","1239	","California","SNOLITE","Del Norte","4970","41.99617","-123.547","171003110302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","36",,,"360","450","100","77","72","28","100","1","8","Highest",,,"10","8","0","36","2014","2021","8"
"American Beauty","1198	","Nevada","SNOLITE","Elko","7545","40.53373","-115.45768","160401030901	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"60","60","75","15","15","-4","22","8","3",,,,"10","10","0","19","2014","2019","10"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1050","64.78969","-141.23376","190705050504	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","13",,,"130","108","93","59","65","1","80","3","9",,,,"10","12","5","14","2016","2015, 2019","11"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1653","59.85972","-151.315","190203010701	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","23",,,"144","177","88","47","46","10","76","5","14",,,,"16","13","6","38","2013, 2014, 2019","2004","18"
"Anchorage Hillside","1070	","Alaska","SNOTEL","Anchorage","2080","61.11483","-149.66683","190204010601	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","25",,,"147","147","93","61","60","8","79","4","12",,,,"17","17","3","37","2016","2011","15"
"Anchorage Wscmo AP","0280	","Alaska","ACIS","Anchorage","110","61.16666","-150.01666","190204010808	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"8","7","0","20","1985, 2000, 2019, more","1991, 1996","68"
"Aneroid Lake #2","302	","Oregon","SNOTEL","Wallowa","7400","45.21328","-117.19258","170601050101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","21",,,"91","100","100","27","27","0","55","10","11",,,,"23","21","9","39","2017","2001","21"
"Aniak","2065	","Alaska","SNOTEL","Bethel","80","61.58337","-159.57708","190305020504	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","13",,,"186","130","93","59","59","3","100","1","9","Highest",,,"7","10","0","13","2013","2021","9"
"Annie Springs","1000	","Oregon","SNOTEL","Klamath","6010","42.87007","-122.16518","180102030101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","34",,,"103","113","100","31","31","4","67","8","14",,,,"33","30","10","80","2013","2001","22"
"Anthony Lake","1245	","Oregon","SNOLITE","Baker","7160","44.9591","-118.22668","170502030503	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","19",,,"90","100","100","24","23","0","50","5","4",,,,"21","19","6","35","2017","2015, 2016","9"
"Apishapa","303	","Colorado","SNOTEL","Huerfano","10000","37.33062","-105.06749","110200060406	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","0",,,"0","0","0","0","0","-4","13","21","1","Lowest",,,"6","4","0","24","2010, 2016, 2021, more","1997","24"
