"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Arapaho Ridge","1030	","Colorado","SNOTEL","Grand","10960","40.35098","-106.35098","140100010604	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","23",,,"77","74","85","29","29","-8","17","16","4",,,,"30","31","6","43","2002","2004, 2010, 2019","19"
"Arbuckle Mtn","304	","Oregon","SNOTEL","Morrow","5770","45.19085","-119.25392","170702020604	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","11",,,"65","65","100","19","19","-6","28","14","5",,,,"17","17","6","28","2013, 2017","2015","19"
"Ash Valley","2214	","California","SCAN","Lassen","5097","41.05204","-120.6872","180200021404	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"250","500","100","100","100","4","100","1","6","Highest",,,"2","1","0","5","2017","2021","6"
"Ashley Divide","1165	","Montana","SNOLITE","Flathead","4820","48.20161","-114.51495","170102080108	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"167","167","91","34","33","4","100","1","5","Highest",,,"6","6","2","10","2017","2021","5"
"Atigun Pass","957	","Alaska","SNOTEL","North Slope","4800","68.12983","-149.47817","190802010102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"29","30","15","40","2010","2017","13"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7580","43.7569","-115.23907","170501110204	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","34",,,"103","103","100","36","38","1","56","12","15",,,,"33","33","11","59","1996","2001","26"
"Azure","1E08P	","British Columbia","Cooperator Snow Sensors","	","5331","52.58333","-119.71667","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"58","62","30","82","2000","1999","17"
"Badger Pass","307	","Montana","SNOTEL","Pondera","6900","48.13088","-113.02317","100302010201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","30",,,"88","79","94","33","33","-8","33","15","8",,,,"34","38","0","52","1999","2009, 2012","22"
"Baker Butte","308	","Arizona","SNOTEL","Gila","7300","34.4566","-111.40643","150602030206	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"40","100","100","8","8","0","58","9","9",,,,"5","2","0","26","2016, 2017, 2020, more","2011","20"
"Baker Butte Smt","1140	","Arizona","SNOTEL","Coconino","7700","34.45547","-111.38272","150602030103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"10","6","0","37","2017","2011","12"
"Bald Mtn AM","1240	","Nevada","SNOLITE","Washoe","6720","41.78333","-119.61667","160402040101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","3",,,"100","100","100","21","21","0","50","3","3",,,,"3","3","0","7","2017","2019","5"
"Bald Mtn AM OR","447	","Oregon","SNOLITE","Union","6700","45.21158","-117.6626","170601040504	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"22","22","21","23","2020","2018","3"
"Bald Mtn.","309	","Wyoming","SNOTEL","Big Horn","9380","44.8007","-107.84442","100800100501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","24",,,"80","80","100","32","35","-6","28","14","4",,,,"30","30","13","40","2015","2013, 2019","19"
"Baldy","310	","Arizona","SNOTEL","Apache","9125","33.97883","-109.50344","150200010203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"33","50","50","4","6","-2","16","17","4",,,,"6","4","0","23","2010, 2017","2011","20"
"Banfield Mountain","311	","Montana","SNOTEL","Lincoln","5600","48.5712","-115.44573","170101011202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","23",,,"121","135","100","37","38","6","75","6","16",,,,"19","17","9","34","2014","2003","21"
"Banner Summit","312	","Idaho","SNOTEL","Boise","7040","44.30342","-115.23447","170501200202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"30","25","18","53","2009","2001","21"
"Bar M","1212	","Arizona","SNOTEL","Coconino","6393","34.86136","-111.60503","150602020601	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"2","2","0","5","2017, 2018, 2020","2013, 2015","9"
"Barker Lakes","313	","Montana","SNOTEL","Deer Lodge","8250","46.09713","-113.13038","170102010304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","20",,,"87","91","100","32","33","-2","42","12","6",,,,"23","22","11","37","2002, 2016","2009","20"
"Barkerville","1A03P	","British Columbia","Cooperator Snow Sensors","	","4865","53.05","-121.48333","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"18","19","0","30","2006, 2007","2008","14"
"Barney Creek","1246	","Oregon","SNOLITE","Baker","5830","44.36069","-118.31114","170502020202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"67","50","100","16","15","-6","38","6","4",,,,"9","12","0","17","2014","2015","9"
"Barrow WSO Airport","0546	","Alaska","ACIS","North Slope","30","71.3","-156.78333","190602020203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"8","8","1","16","1903","1997","88"
"Base Camp","314	","Wyoming","SNOTEL","Teton","7060","43.94019","-110.44544","170401010304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","17",,,"63","65","89","25","26","-9","0","8","1","Lowest",,,"27","26","17","38","2021","2016","8"
"Basin Creek","315	","Montana","SNOTEL","Silver Bow","7180","45.79737","-112.52047","170102010201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","3",,,"25","25","50","8","8","-9","0","19","1","Lowest",,,"12","12","3","23","2021","2013","19"
"Bassoo Peak","1190	","Montana","SNOLITE","Sanders","5150","47.85562","-114.75841","170102120105	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"171","200","100","36","41","6","100","1","5","Highest",,,"7","6","3","12","2017","2021","5"
"Bateman","316	","New Mexico","SNOTEL","Rio Arriba","9300","36.51174","-106.31543","130201020901	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"46","43","75","12","15","-8","20","17","5",,,,"13","14","1","26","2017","2007","21"
"Battle Creek AM","1295	","Idaho","SNOLITE","Owyhee","5720","42.47694","-116.32576","170501040905	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"6","8","0","9","2020","2019","3"
"Battle Mountain","317	","Wyoming","SNOTEL","Carbon","7440","41.05413","-107.26609","140500030109	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"21","16","3","138","2012, 2017","2008","19"
"Beagle Springs","318	","Montana","SNOTEL","Beaverhead","8850","44.47147","-112.98191","100200010501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","11",,,"73","69","61","26","25","-5","17","16","4",,,,"15","16","9","22","2006","2015","19"
"Bear Basin","319	","Idaho","SNOTEL","Adams","5350","44.95222","-116.14293","170602100104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"18","15","7","40","2014","2001","21"
"Bear Canyon","320	","Idaho","SNOTEL","Custer","7900","43.74367","-113.93797","170402180101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","28",,,"133","156","100","47","47","10","91","2","10","2nd Highest",,,"21","18","10","41","2018","2012","12"
"Bear Creek","321	","Nevada","SNOTEL","Elko","8040","41.83384","-115.45278","170501020301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"19","16","10","38","2013","2015","13"
"Bear Flat Meadow AM","1291	","Oregon","SNOLITE","Lake","6580","42.41655","-120.47043","171200060105	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","8",,,"73","80","100","22","31","-2","33","3","1","Lowest",,,"11","10","8","15","2020, 2021","2019","4"
"Bear Grass","1166	","Oregon","SNOTEL","Linn","4720","44.3253","-122.0938","170900040203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"28","25","0","68","2014","2016","10"
"Bear Lake","322	","Colorado","SNOTEL","Larimer","9500","40.31176","-105.6467","101900060201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"32","30","46","9","9","-14","0","17","1","Lowest",,,"19","20","6","30","2021","2019","17"
"Bear Mountain","323	","Idaho","SNOTEL","Bonner","5400","48.30577","-116.07448","170102131202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","42",,,"86","88","100","29","30","-6","37","13","7",,,,"49","48","22","82","2014","2001","20"
"Bear River","1061	","Colorado","SNOTEL","Routt","9080","40.06153","-107.00955","140500010102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"17","16","10","24","2012","2005","17"
"Bear River RS","992	","Utah","SNOTEL","Summit","8777","40.8852","-110.8277","160101010106	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"38","42","71","13","15","-7","0","12","1","Lowest",,,"13","12","5","22","2021","2010","12"
"Bear Saddle","324	","Idaho","SNOTEL","Washington","6180","44.60533","-116.98097","170501241001	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","25",,,"132","139","100","37","42","7","89","2","9","2nd Highest",,,"19","18","4","55","2014","2015","10"
"Bear Trap Meadow","325	","Wyoming","SNOTEL","Johnson","8200","43.88743","-107.06135","100902010205	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","9",,,"75","75","90","24","24","-3","28","14","4",,,,"12","12","6","20","2020","2019","19"
"Beartooth Lake","326	","Wyoming","SNOTEL","Park","9360","44.94307","-109.56743","100700060206	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","21",,,"60","60","95","25","26","-14","0","19","1","Lowest",,,"35","35","21","45","2021","2003, 2017","19"
"Beartown","327	","Colorado","SNOTEL","Mineral","11600","37.71409","-107.51212","130100010104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","13",,,"46","52","65","16","17","-12","5","21","2","2nd Lowest",,,"28","25","5","52","2017","2007","22"
"Beaver Ck Village","1041	","Colorado","SNOTEL","Eagle","8500","39.59917","-106.51142","140100030301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"16","16","2","27","2017","2008, 2019","18"
"Beaver Creek","328	","Montana","SNOTEL","Gallatin","7850","44.94966","-111.35852","100200070402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"23","24","8","41","2020","2012","19"
"Beaver Dams","329	","Utah","SNOTEL","Sanpete","7990","39.13683","-111.55813","160300040402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"70","78","64","18","18","-2","24","14","5",,,,"10","9","0","20","2017","2007","18"
"Beaver Divide","330	","Utah","SNOTEL","Summit","8280","40.61233","-111.09782","160202030105	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"62","77","77","22","24","-3","10","19","3",,,,"16","13","9","29","2017, 2020","2009","21"
"Beaver Head","902	","Arizona","SNOTEL","Greenlee","7990","33.69144","-109.21657","150601010107	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","0",,,"0","0","0","0","0","-2","20","17","1","Lowest",,,"4","2","0","21","2017, 2020, 2021, more","2011","21"
"Beaver Pass","990	","Washington","SNOTEL","Whatcom","3630","48.8793","-121.2555","171100050605	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"34","31","8","84","2019","2006","19"
"Beaver Reservoir","331	","Oregon","SNOTEL","Union","5150","45.14532","-118.219","170601040301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"100","91","91","26","26","-1","47","10","8",,,,"10","11","3","19","2014","2016","18"
"Beaver Spring","1143	","Arizona","SNOTEL","Apache","9200","36.32678","-109.05711","140802040401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"88","88","78","19","22","-1","42","8","6",,,,"8","8","0","14","2017","2009, 2013, 2019","13"
"Ben Lomond Peak","332	","Utah","SNOTEL","Weber","7689","41.37603","-111.94405","160201020302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","9",,,"35","43","90","10","10","-12","4","24","2","2nd Lowest",,,"26","21","8","59","2017","2004","25"
"Ben Lomond Trail","333	","Utah","SNOTEL","Weber","5972","41.38291","-111.92103","160201020302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"11","11","40","3","3","-16","0","21","1","Lowest",,,"18","18","2","36","2021","2001","21"
"Berry Creek","334	","Nevada","SNOTEL","White Pine","9377","39.31917","-114.62278","160600081301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","18",,,"112","112","95","30","29","2","65","9","14",,,,"16","16","4","33","2017","2004","24"
"Berthoud Summit","335	","Colorado","SNOTEL","Grand","11300","39.80392","-105.77789","140100010202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"64","62","89","21","21","-10","17","16","2","2nd Lowest",,,"25","26","14","40","2012","2019","19"
"Bettles FAA Airport","0761	","Alaska","ACIS","Yukon-Koyukuk","640","66.91666","-151.51666","190901012604	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"19","19","4","56","1960","1978","69"
"Bettles Field","1182	","Alaska","SNOTEL","Yukon-Koyukuk","640","66.91667","-151.53333","190901012604	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","21",,,"131","117","88","62","60","3","78","3","8",,,,"16","18","2","27","2012, 2016","2011","10"
"Bevans Cabin","1214	","Utah","SNOTEL","Tooele","6520","40.46182","-112.25233","160203040401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"29","33","40","6","6","-4","33","7","1","Lowest",,,"7","6","2","14","2014, 2017, 2021, more","2019","10"
"Big Bend","336	","Nevada","SNOTEL","Elko","6898","41.76168","-115.6931","170501040104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"44","50","80","13","12","-4","29","16","5",,,,"9","8","1","23","2017","2001","22"
"Big Creek Sum","337	","Nevada","SNOTEL","Lander","8685","39.29148","-117.11506","160401070303	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","11",,,"79","92","79","17","17","-1","39","12","5",,,,"14","12","6","29","2011, 2017","2004","19"
"Big Creek Summit","338	","Idaho","SNOTEL","Valley","6560","44.62621","-115.79561","170602080402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","37",,,"116","123","100","40","40","7","71","7","15",,,,"32","30","18","57","2008","2001","22"
"Big Flat","339	","Utah","SNOTEL","Beaver","10349","38.30183","-112.35672","160300070202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","30",,,"120","111","81","41","42","3","67","9","16",,,,"25","27","0","42","2017","2004","25"
"Big Goose","931	","Wyoming","SNOTEL","Sheridan","7990","44.57924","-107.20068","100901010103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"42","45","42","11","12","-6","0","24","1","Lowest",,,"12","11","5","20","2021","2011","24"
"Big Meadow","340	","Nevada","SNOTEL","Washoe","8235","39.455","-119.9422","160501020505	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","31",,,"163","172","100","44","47","13","80","4","13",,,,"19","18","3","35","2006","2015","16"
"Big Red Mountain","341	","Oregon","SNOTEL","Jackson","6050","42.05257","-122.85487","171003090301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"19","17","3","57","2017","2001","21"
"Big Sandy Opening","342	","Wyoming","SNOTEL","Sublette","9080","42.6458","-109.25965","140401040101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","13",,,"65","68","100","24","24","-6","5","20","1","Lowest",,,"20","19","13","33","2020, 2021","2004","21"
"Big Sheep AM","1229	","Oregon","SNOLITE","Wallowa","6240","45.16842","-117.08631","170601020301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","33",,,"194","236","100","52","52","19","100","1","9","Highest",,,"17","14","7","33","2017","2015, 2021","10"
"Bigelow Camp","343	","Oregon","SNOTEL","Josephine","5130","42.07875","-123.34393","171003090105	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","32",,,"400","800","100","59","56","28","100","1","18","Highest",,,"8","4","0","32","2011, 2014","2021","18"
"Billie Creek Divide","344	","Oregon","SNOTEL","Klamath","5280","42.40717","-122.26617","180102030201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","15",,,"83","100","100","23","22","0","53","10","10",,,,"18","15","0","42","2014","2003, 2015","20"
"Bird Creek","1155	","Nevada","SNOTEL","White Pine","7537","39.46138","-114.64863","160600081304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"100","133","67","25","25","1","60","5","7",,,,"4","3","0","9","2017","2015","11"
"Bison Lake","345	","Colorado","SNOTEL","Garfield","10880","39.76487","-107.35681","140100011401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","27",,,"87","87","82","25","28","-4","33","17","8",,,,"31","31","11","65","2017","2009","25"
"Bisson Creek","346	","Montana","SNOTEL","Lake","4920","47.68389","-113.99901","170102120602	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"50","56","50","13","13","-4","21","16","4",,,,"10","9","3","28","2002, 2015","2010","20"
"Black Bear","347	","Montana","SNOTEL","Gallatin","8170","44.50832","-111.12803","100200070202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"51","48","28","89","2002","1994","28"
"Black Flat-U.M. Ck","348	","Utah","SNOTEL","Sevier","9414","38.6799","-111.59765","140700030101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"42","38","56","13","12","-8","5","22","2","2nd Lowest",,,"12","13","0","22","2017","2009","23"
"Black Mesa","1185	","Colorado","SNOTEL","Dolores","11580","37.78972","-108.18365","140300020103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","31",,,"135","135","91","41","44","8","89","2","9","2nd Highest",,,"23","23","6","36","2017","2013","10"
"Black Mountain","1161	","Colorado","SNOTEL","Larimer","8920","40.888","-105.66397","101900070501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"75","75","80","23","24","-4","18","10","3",,,,"16","16","8","26","2012","2019","12"
"Black Pine","349	","Montana","SNOTEL","Granite","7210","46.414","-113.43095","170102020203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"36","33","100","11","12","-10","0","21","1","Lowest",,,"14","15","5","23","2021","2010","21"
"Blackhall Mtn","1119	","Wyoming","SNOTEL","Carbon","9820","41.05616","-106.71384","101800020504	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","34",,,"71","94","87","32","35","-2","42","8","6",,,,"48","36","26","167","2014","2009","13"
"Blacks Fork Jct","1162	","Utah","SNOTEL","Summit","8869","40.95814","-110.5828","140401070303	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"33","31","67","11","11","-9","0","12","1","Lowest",,,"12","13","4","17","2021","2016","12"
"Blacktail Mtn","1144	","Montana","SNOTEL","Flathead","5650","47.98288","-114.3543","170102080302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"86","100","100","27","25","0","45","7","5",,,,"14","12","5","24","2017","2010","12"
"Blackwall Peak","2G03P	","British Columbia","Cooperator Snow Sensors","	","6345","49.08333","-120.76667","170200070205	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"39","35","22","79","2019","2006","15"
"Blackwater","350	","Wyoming","SNOTEL","Park","9780","44.37667","-109.79333","100800120209	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","27",,,"71","75","100","30","31","-9","0","16","1","Lowest",,,"38","36","27","52","2021","2016","16"
"Blazed Alder","351	","Oregon","SNOTEL","Clackamas","3650","45.4287","-121.85605","170800010102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","34",,,"136","155","100","37","35","12","80","6","21",,,,"25","22","0","65","2014","1996","26"
"Blewett Pass","352	","Washington","SNOTEL","Chelan","4240","47.35037","-120.6796","170200110501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"108","127","100","30","29","3","59","10","13",,,,"13","11","1","27","2004","2003","23"
"Blind Bull Sum","353	","Wyoming","SNOTEL","Sublette","8650","42.964","-110.60973","140401010402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","19",,,"58","54","100","22","22","-16","0","21","1","Lowest",,,"33","35","19","44","2021","2003","21"
"Blind Park","354	","South Dakota","SNOTEL","Pennington","6890","44.10772","-103.97688","101201100104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"50","62","62","15","15","-3","6","18","2","2nd Lowest",,,"10","8","1","20","2020","2008","19"
"Bloody Dick","355	","Montana","SNOTEL","Beaverhead","7600","45.16507","-113.50099","100200011002	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","9",,,"50","50","90","19","19","-9","0","23","1","Lowest",,,"18","18","9","30","2021","2015","23"
"Blue Lakes","356	","California","SNOTEL","Alpine","8067","38.608","-119.92437","180400120101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"21","19","5","47","2008, 2017","2001","23"
"Blue Mountain Spring","357	","Oregon","SNOTEL","Grant","5870","44.24767","-118.51722","170501160104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"94","94","100","29","30","-1","43","14","11",,,,"17","17","6","36","2008, 2012, 2017, more","2001","24"
"Bobs Hollow","1278	","Utah","SNOTEL","Millard","9319","38.94569","-112.15349","160300051401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"100","86","75","22","24","-2","40","4","3",,,,"12","14","0","20","2017","2019","6"
"Bogus Basin","978	","Idaho","SNOTEL","Boise","6340","43.76377","-116.09685","170501220201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","21",,,"88","91","100","28","26","-2","45","13","9",,,,"24","23","9","62","2012","2001","23"
"Bondurant","0865	","Wyoming","ACIS","Sublette","6620","43.2","-110.4","170401030207	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"16","14","0","45","1959","1996","62"
