"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Blackhall Mtn","1119	","Wyoming","SNOTEL","Carbon","9820","41.05616","-106.71384","101800020504	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","20",,,"59","61","91","19","20","-13","0","13","1","Lowest",,,"34","33","20","49","2021","2010","13"
"Blacks Fork Jct","1162	","Utah","SNOTEL","Summit","8869","40.95814","-110.5828","140401070303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"10","10","7","14","2020","2016","11"
"Blacktail Mtn","1144	","Montana","SNOTEL","Flathead","5650","47.98288","-114.3543","170102080302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"30","38","60","7","6","-5","0","12","1","Lowest",,,"10","8","3","21","2021","2010","12"
"Blackwall Peak","2G03P	","British Columbia","Cooperator Snow Sensors","	","6345","49.08333","-120.76667","170200070205	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"34","36","6","54","2002","2003","17"
"Blackwater","350	","Wyoming","SNOTEL","Park","9780","44.37667","-109.79333","100800120209	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","17",,,"49","50","74","19","20","-17","0","16","1","Lowest",,,"35","34","17","56","2021","2017","16"
"Blazed Alder","351	","Oregon","SNOTEL","Clackamas","3650","45.4287","-121.85605","170800010102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-16","12","23","1","Lowest",,,"19","16","0","54","2008, 2012, 2021, more","2001","26"
"Blewett Pass","352	","Washington","SNOTEL","Chelan","4240","47.35037","-120.6796","170200110501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"22","22","40","4","4","-7","18","19","3",,,,"9","9","0","25","2002, 2008","2001","23"
"Blind Bull Sum","353	","Wyoming","SNOTEL","Sublette","8650","42.964","-110.60973","140401010402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","15",,,"56","65","94","18","18","-8","0","21","1","Lowest",,,"27","23","15","42","2021","2001","21"
"Blind Park","354	","South Dakota","SNOTEL","Pennington","6890","44.10772","-103.97688","101201100104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"44","40","50","12","12","-6","22","15","4",,,,"9","10","1","17","2020","2008, 2019","19"
"Bloody Dick","355	","Montana","SNOTEL","Beaverhead","7600","45.16507","-113.50099","100200011002	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"14","15","20","4","4","-11","0","23","1","Lowest",,,"14","13","2","25","2021","2007","23"
"Blue Lakes","356	","California","SNOTEL","Alpine","8067","38.608","-119.92437","180400120101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-10","0","24","1","Lowest",,,"16","10","0","49","2021","2001","24"
"Blue Mountain Spring","357	","Oregon","SNOTEL","Grant","5870","44.24767","-118.51722","170501160104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"8","9","25","2","2","-10","13","21","2","2nd Lowest",,,"12","11","0","35","2008","2001","24"
