"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Ash Valley","2214	","California","SCAN","Lassen","5097","41.05204","-120.6872","180200021404	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","2",,,"200","200","18","40","40","1","75","2","4","2nd Highest",,,"1","1","0","3","2015, 2021","2016","5"
"Ashley Divide","1165	","Montana","SNOLITE","Flathead","4820","48.20161","-114.51495","170102080108	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","18",,,"129","129","90","62","60","4","100","1","5","Highest",,,"14","14","11","18","2019","2022","5"
"Atigun Pass","957	","Alaska","SNOTEL","North Slope","4800","68.12983","-149.47817","190802010102	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","32",,,"100","94","89","64","60","-2","38","9","6",,,,"32","34","17","43","2010, 2011","2016","14"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7580","43.7569","-115.23907","170501110204	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","73",,,"128","133","90","78","82","18","88","4","22",,,,"57","55","37","92","2012","2006","25"
"Azure","1E08P	","British Columbia","Cooperator Snow Sensors","	","5331","52.58333","-119.71667","	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"78","78","52","98","2011","2007","16"
"Badger Pass","307	","Montana","SNOTEL","Pondera","6900","48.13088","-113.02317","100302010201	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","50",,,"100","96","93","56","56","-2","38","14","9",,,,"50","52","0","67","2000","2013","22"
"Baker Butte","308	","Arizona","SNOTEL","Gila","7300","34.4566","-111.40643","150602030206	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","8",,,"73","89","73","32","31","-1","42","12","9",,,,"11","9","0","30","2006, 2021","2016","20"
"Baker Butte Smt","1140	","Arizona","SNOTEL","Coconino","7700","34.45547","-111.38272","150602030103	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","18",,,"95","95","90","43","40","-1","42","8","5",,,,"19","19","1","38","2021","2016","13"
"Bald Mtn AM","1240	","Nevada","SNOLITE","Washoe","6720","41.78333","-119.61667","160402040101	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","0",,,"0",,"0","0","0","0","50","3","1","Lowest",,,"3","0","0","8","2018, 2021, 2022","2019","5"
"Bald Mtn AM OR","447	","Oregon","SNOLITE","Union","6700","45.21158","-117.6626","170601040504	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","59",,,"111","111","91","55","55","6","100","1","4","Highest",,,"53","53","47","59","2020","2022","4"
"Bald Mtn.","309	","Wyoming","SNOTEL","Big Horn","9380","44.8007","-107.84442","100800100501	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","34",,,"85","83","97","46","49","-7","28","14","5",,,,"40","41","21","54","2016","2009, 2014","19"
"Baldy","310	","Arizona","SNOTEL","Apache","9125","33.97883","-109.50344","150200010203	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","17",,,"121","121","77","32","55","3","68","7","12",,,,"14","14","1","32","2006","2009","20"
"Banfield Mountain","311	","Montana","SNOTEL","Lincoln","5600","48.5712","-115.44573","170101011202	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","45",,,"125","129","90","73","75","10","85","4","18",,,,"36","35","22","49","2005","2007","21"
"Banner Summit","312	","Idaho","SNOTEL","Boise","7040","44.30342","-115.23447","170501200202	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","66",,,"135","140","88","80","81","19","86","4","19",,,,"49","47","28","77","2001","2006","22"
"Bar M","1212	","Arizona","SNOTEL","Coconino","6393","34.86136","-111.60503","150602020601	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","2",,,"33","100","29","12","13","0","44","6","4",,,,"6","2","0","24","2021","2016","10"
"Barker Lakes","313	","Montana","SNOTEL","Deer Lodge","8250","46.09713","-113.13038","170102010304	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","30",,,"100","103","88","48","50","1","58","9","12",,,,"30","29","19","40","2003","2009, 2010, 2018","20"
"Barkerville","1A03P	","British Columbia","Cooperator Snow Sensors","	","4865","53.05","-121.48333","	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"28","29","0","46","2007, 2008","2020","15"
"Barney Creek","1246	","Oregon","SNOLITE","Baker","5830","44.36069","-118.31114","170502020202	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","24",,,"126","114","80","65","60","3","75","3","7",,,,"19","21","7","36","2018","2017","9"
"Barrow WSO Airport","0546	","Alaska","ACIS","North Slope","30","71.3","-156.78333","190602020203	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"9","8","2","18","1904, 1929","2006","87"
"Base Camp","314	","Wyoming","SNOTEL","Teton","7060","43.94019","-110.44544","170401010304	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","46",,,"105","110","90","67","70","4","88","2","8","2nd Highest",,,"44","42","30","71","2016","2017","9"
"Basin Creek","315	","Montana","SNOTEL","Silver Bow","7180","45.79737","-112.52047","170102010201	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","13",,,"72","72","87","35","36","-5","11","17","3",,,,"18","18","11","27","2021","2014","19"
"Bassoo Peak","1190	","Montana","SNOLITE","Sanders","5150","47.85562","-114.75841","170102120105	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","23",,,"135","144","96","70","79","7","100","1","5","Highest",,,"17","16","14","23","2020","2022","5"
"Bateman","316	","New Mexico","SNOTEL","Rio Arriba","9300","36.51174","-106.31543","130201020901	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","26",,,"118","130","76","51","67","6","75","6","16",,,,"22","20","3","41","2018","2008, 2009","21"
"Battle Creek AM","1295	","Idaho","SNOLITE","Owyhee","5720","42.47694","-116.32576","170501040905	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","9",,,"129","112","69","64","82","1","100","1","3","Highest",,,"7","8","3","9","2021","2020, 2022","4"
"Battle Mountain","317	","Wyoming","SNOTEL","Carbon","7440","41.05413","-107.26609","140500030109	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"30","25","11","134","2018","2009","19"
"Beagle Springs","318	","Montana","SNOTEL","Beaverhead","8850","44.47147","-112.98191","100200010501	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","24",,,"104","100","89","56","55","0","56","9","9",,,,"23","24","15","28","2021","2016","19"
"Bear Basin","319	","Idaho","SNOTEL","Adams","5350","44.95222","-116.14293","170602100104	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","34",,,"103","106","89","60","59","2","70","7","15",,,,"33","32","17","53","2012","2008","21"
"Bear Canyon","320	","Idaho","SNOTEL","Custer","7900","43.74367","-113.93797","170402180101	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","39",,,"130","139","67","65","65","11","82","3","10",,,,"30","28","21","48","2012, 2014","2017","12"
"Bear Creek","321	","Nevada","SNOTEL","Elko","8040","41.83384","-115.45278","170501020301	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","29",,,"88","97","76","45","44","-1","38","9","6",,,,"33","30","14","55","2012","2017","14"
"Bear Flat Meadow AM","1291	","Oregon","SNOLITE","Lake","6580","42.41655","-120.47043","171200060105	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","15",,,"94","100","71","41","58","0","67","2","2",,,,"16","15","10","23","2021","2019","4"
"Bear Grass","1166	","Oregon","SNOTEL","Linn","4720","44.3253","-122.0938","170900040203	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","89",,,"159","168","79","74","70","36","80","3","9",,,,"56","53","17","105","2014","2017","11"
"Bear Lake","322	","Colorado","SNOTEL","Larimer","9500","40.31176","-105.6467","101900060201	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","43",,,"130","148","81","63","64","14","88","3","15",,,,"33","29","18","60","2013, 2021","2017","17"
"Bear Mountain","323	","Idaho","SNOTEL","Bonner","5400","48.30577","-116.07448","170102131202	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","97",,,"114","117","91","66","68","14","68","7","14",,,,"85","83","55","115","2015","2000","20"
"Bear River","1061	","Colorado","SNOTEL","Routt","9080","40.06153","-107.00955","140500010102	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","23",,,"96","96","88","40","48","-1","41","11","7",,,,"24","24","16","33","2012","2011","18"
"Bear River RS","992	","Utah","SNOTEL","Summit","8777","40.8852","-110.8277","160101010106	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","26",,,"113","118","90","68","76","4","82","3","10",,,,"23","22","14","38","2012","2011, 2017","12"
"Bear Saddle","324	","Idaho","SNOTEL","Washington","6180","44.60533","-116.98097","170501241001	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","45",,,"118","112","88","67","76","5","78","3","7",,,,"38","40","16","55","2018","2016","10"
"Bear Trap Meadow","325	","Wyoming","SNOTEL","Johnson","8200","43.88743","-107.06135","100902010205	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","14",,,"74","74","100","38","37","-5","17","16","4",,,,"19","19","11","26","2021","2009","19"
"Beartooth Lake","326	","Wyoming","SNOTEL","Park","9360","44.94307","-109.56743","100700060206	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","47",,,"94","98","90","56","59","-1","39","12","7",,,,"50","48","32","76","2019","2018","19"
"Beartown","327	","Colorado","SNOTEL","Mineral","11600","37.71409","-107.51212","130100010104	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","39",,,"93","100","87","49","51","0","57","10","11",,,,"42","39","15","101","2018","2005","22"
"Beaver Ck Village","1041	","Colorado","SNOTEL","Eagle","8500","39.59917","-106.51142","140100030301	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"25","26","13","36","2018","2009","18"
"Beaver Creek","328	","Montana","SNOTEL","Gallatin","7850","44.94966","-111.35852","100200070402	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"37","38","19","49","2021","2006","19"
"Beaver Dams","329	","Utah","SNOTEL","Sanpete","7990","39.13683","-111.55813","160300040402	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","23",,,"105","105","70","58","61","1","71","6","10",,,,"22","22","11","40","2012, 2018","2011","18"
"Beaver Divide","330	","Utah","SNOTEL","Summit","8280","40.61233","-111.09782","160202030105	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","39",,,"134","150","98","85","93","13","85","4","18",,,,"29","26","14","53","2012","2017","21"
"Beaver Head","902	","Arizona","SNOTEL","Greenlee","7990","33.69144","-109.21657","150601010107	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","2",,,"29","25","22","10","11","-6","30","15","5",,,,"7","8","0","18","2017, 2018, 2021","2008","21"
"Beaver Pass","990	","Washington","SNOTEL","Whatcom","3630","48.8793","-121.2555","171100050605	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"65","60","34","113","2015","2007","20"
"Beaver Reservoir","331	","Oregon","SNOTEL","Union","5150","45.14532","-118.219","170601040301	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","29",,,"132","138","71","74","74","8","88","3","15",,,,"22","21","12","31","2015","2008","18"
"Beaver Spring","1143	","Arizona","SNOTEL","Apache","9200","36.32678","-109.05711","140802040401	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","23",,,"144","121","74","64","72","4","75","4","10",,,,"16","19","4","32","2015, 2018","2016","13"
"Ben Lomond Peak","332	","Utah","SNOTEL","Weber","7689","41.37603","-111.94405","160201020302	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"48","41","21","86","2012","2004","23"
"Ben Lomond Trail","333	","Utah","SNOTEL","Weber","5972","41.38291","-111.92103","160201020302	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","30",,,"81","83","81","48","52","-6","35","14","8",,,,"37","36","12","66","2018","2004","21"
"Berry Creek","334	","Nevada","SNOTEL","White Pine","9377","39.31917","-114.62278","160600081301	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","35",,,"125","135","85","57","56","9","87","4","21",,,,"28","26","11","62","2012","2005","24"
"Berthoud Summit","335	","Colorado","SNOTEL","Grand","11300","39.80392","-105.77789","140100010202	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","38",,,"103","106","84","51","49","2","56","9","11",,,,"37","36","23","50","2012","2006","19"
"Bettles FAA Airport","0761	","Alaska","ACIS","Yukon-Koyukuk","640","66.91666","-151.51666","190901012604	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"25","22","4","70","1961","1973","69"
"Bettles Field","1182	","Alaska","SNOTEL","Yukon-Koyukuk","640","66.91667","-151.53333","190901012604	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","31",,,"148","129","86","91","89","7","100","1","10","Highest",,,"21","24","4","31","2013","2022","10"
"Bevans Cabin","1214	","Utah","SNOTEL","Tooele","6520","40.46182","-112.25233","160203040401	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","12",,,"71","75","67","34","34","-4","33","7","3",,,,"17","16","4","34","2018","2013","10"
"Big Bend","336	","Nevada","SNOTEL","Elko","6898","41.76168","-115.6931","170501040104	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","17",,,"89","94","81","55","52","-1","48","12","9",,,,"19","18","3","41","2012, 2018","2017","22"
"Big Creek Sum","337	","Nevada","SNOTEL","Lander","8685","39.29148","-117.11506","160401070303	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","23",,,"88","92","85","35","35","-2","44","11","8",,,,"26","25","4","49","2012","2011, 2016","19"
"Big Creek Summit","338	","Idaho","SNOTEL","Valley","6560","44.62621","-115.79561","170602080402	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST",,,,,,,,,,,,,,,,"54","53","31","82","2012","2006","21"
"Big Flat","339	","Utah","SNOTEL","Beaver","10349","38.30183","-112.35672","160300070202	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","59",,,"159","174","83","80","82","25","92","3","24",,,,"37","34","15","73","2000","2011","26"
"Big Goose","931	","Wyoming","SNOTEL","Sheridan","7990","44.57924","-107.20068","100901010103	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","12",,,"67","67","100","26","28","-6","9","22","2","2nd Lowest",,,"18","18","11","29","2016","2012","24"
"Big Meadow","340	","Nevada","SNOTEL","Washoe","8235","39.455","-119.9422","160501020505	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","54",,,"159","193","72","76","82","26","93","2","15","2nd Highest",,,"34","28","2","90","2012","2017","16"
"Big Red Mountain","341	","Oregon","SNOTEL","Jackson","6050","42.05257","-122.85487","171003090301	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","40",,,"103","100","77","53","51","0","52","11","12",,,,"39","40","2","77","2014","2017","22"
"Big Sandy Opening","342	","Wyoming","SNOTEL","Sublette","9080","42.6458","-109.25965","140401040101	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","32",,,"100","103","80","58","59","1","65","8","13",,,,"32","31","19","55","2012","2017","21"
"Big Sheep AM","1229	","Oregon","SNOLITE","Wallowa","6240","45.16842","-117.08631","170601020301	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","48",,,"145","150","92","75","76","16","89","2","9","2nd Highest",,,"33","32","16","53","2018","2013","10"
"Bigelow Camp","343	","Oregon","SNOTEL","Josephine","5130","42.07875","-123.34393","171003090105	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","41",,,"171","205","73","76","72","21","71","6","13",,,,"24","20","0","67","2014, 2015, 2018, more","2017","18"
"Billie Creek Divide","344	","Oregon","SNOTEL","Klamath","5280","42.40717","-122.26617","180102030201	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","40",,,"105","95","77","62","60","-2","47","11","10",,,,"38","42","7","67","2014","2008","20"
"Bird Creek","1155	","Nevada","SNOTEL","White Pine","7537","39.46138","-114.64863","160600081304	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","11",,,"138","138","61","69","69","3","80","3","9",,,,"8","8","0","23","2015","2016","11"
"Bison Lake","345	","Colorado","SNOTEL","Garfield","10880","39.76487","-107.35681","140100011401	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","60",,,"133","154","83","57","61","21","86","4","20",,,,"45","39","28","78","2000, 2018","2005","23"
"Bisson Creek","346	","Montana","SNOTEL","Lake","4920","47.68389","-113.99901","170102120602	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","21",,,"100","105","88","54","54","1","53","10","11",,,,"21","20","4","37","2003","2011","20"
"Black Bear","347	","Montana","SNOTEL","Gallatin","8170","44.50832","-111.12803","100200070202	","January 10, 2022, end of day ","1-11-2022, 08:05 AM MST","79",,,"107","113","88","65","67","9","68","10","20",,,,"74","70","48","131","2001","1997","29"
