"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Ash Valley","2214	","California","SCAN","Lassen","5097","41.05204","-120.6872","180200021404	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","4",,,"200","200","36","80","80","2","100","1","5","Highest",,,"2","2","0","4","2015, 2021","2022","5"
"Ashley Divide","1165	","Montana","SNOLITE","Flathead","4820","48.20161","-114.51495","170102080108	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","15",,,"107","100","75","52","50","0","50","3","3",,,,"14","15","10","17","2019","2018, 2020","5"
"Atigun Pass","957	","Alaska","SNOTEL","North Slope","4800","68.12983","-149.47817","190802010102	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"33","36","16","47","2011","2018","13"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7580","43.7569","-115.23907","170501110204	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","63",,,"103","109","78","67","71","5","67","9","17",,,,"61","58","40","102","1997","2006","25"
"Azure","1E08P	","British Columbia","Cooperator Snow Sensors","	","5331","52.58333","-119.71667","	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"85","84","69","101","2009","2021","16"
"Badger Pass","307	","Montana","SNOTEL","Pondera","6900","48.13088","-113.02317","100302010201	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","45",,,"88","83","83","50","50","-9","29","16","7",,,,"51","54","0","70","2000","2012","22"
"Baker Butte","308	","Arizona","SNOTEL","Gila","7300","34.4566","-111.40643","150602030206	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","6",,,"55","60","55","24","23","-4","37","13","7",,,,"11","10","0","31","2018, 2021","2010","20"
"Baker Butte Smt","1140	","Arizona","SNOTEL","Coconino","7700","34.45547","-111.38272","150602030103	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","15",,,"65","65","75","36","33","-8","18","10","3",,,,"23","23","3","45","2018","2010","12"
"Bald Mtn AM","1240	","Nevada","SNOLITE","Washoe","6720","41.78333","-119.61667","160402040101	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","0",,,"0",,"0","0","0","0","50","3","1","Lowest",,,"3","0","0","9","2018, 2021, 2022","2019","5"
"Bald Mtn AM OR","447	","Oregon","SNOLITE","Union","6700","45.21158","-117.6626","170601040504	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","55",,,"95","95","85","51","51","-3","33","3","1","Lowest",,,"58","58","55","62","2021, 2022","2019, 2020","4"
"Bald Mtn.","309	","Wyoming","SNOTEL","Big Horn","9380","44.8007","-107.84442","100800100501	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","37",,,"86","86","100","50","54","-6","17","16","4",,,,"43","43","30","57","2013","2011","19"
"Baldy","310	","Arizona","SNOTEL","Apache","9125","33.97883","-109.50344","150200010203	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","16",,,"107","107","73","30","52","1","53","10","11",,,,"15","15","2","29","2006","2009","20"
"Banfield Mountain","311	","Montana","SNOTEL","Lincoln","5600","48.5712","-115.44573","170101011202	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","42",,,"114","111","84","68","70","4","80","5","16",,,,"37","38","20","48","2005","2008, 2012","21"
"Banner Summit","312	","Idaho","SNOTEL","Boise","7040","44.30342","-115.23447","170501200202	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","58",,,"107","116","77","71","72","8","80","5","16",,,,"54","50","33","93","2001","2006","21"
"Bar M","1212	","Arizona","SNOTEL","Coconino","6393","34.86136","-111.60503","150602020601	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","0",,,"0","0","0","0","0","-2","22","8","1","Lowest",,,"4","2","0","17","2015, 2018, 2022","2016","10"
"Barker Lakes","313	","Montana","SNOTEL","Deer Lodge","8250","46.09713","-113.13038","170102010304	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","28",,,"90","93","82","44","47","-2","32","14","7",,,,"31","30","21","42","2017","2018","20"
"Barkerville","1A03P	","British Columbia","Cooperator Snow Sensors","	","4865","53.05","-121.48333","	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"28","31","0","42","2007, 2008","2014","14"
"Barney Creek","1246	","Oregon","SNOLITE","Baker","5830","44.36069","-118.31114","170502020202	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","22",,,"100","100","73","59","55","0","50","5","5",,,,"22","22","9","37","2014","2016, 2017","9"
"Barrow WSO Airport","0546	","Alaska","ACIS","North Slope","30","71.3","-156.78333","190602020203	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"9","9","2","24","1904","1916","88"
"Base Camp","314	","Wyoming","SNOTEL","Teton","7060","43.94019","-110.44544","170401010304	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","38",,,"84","88","75","55","58","-5","0","9","1","Lowest",,,"45","43","38","54","2022","2017","9"
"Basin Creek","315	","Montana","SNOTEL","Silver Bow","7180","45.79737","-112.52047","170102010201	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","13",,,"72","72","87","35","36","-5","17","16","3",,,,"18","18","11","27","2005, 2021","2014, 2016","19"
"Bassoo Peak","1190	","Montana","SNOLITE","Sanders","5150","47.85562","-114.75841","170102120105	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","20",,,"111","105","83","61","69","1","100","1","4","Highest",,,"18","19","16","20","2021","2018, 2022","5"
"Bateman","316	","New Mexico","SNOTEL","Rio Arriba","9300","36.51174","-106.31543","130201020901	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","24",,,"100","100","71","47","62","0","60","9","11",,,,"24","24","3","39","2018","2017","21"
"Battle Creek AM","1295	","Idaho","SNOLITE","Owyhee","5720","42.47694","-116.32576","170501040905	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","8",,,"100","89","62","57","73","-1","33","3","2","2nd Lowest",,,"8","9","3","11","2021","2019","4"
"Battle Mountain","317	","Wyoming","SNOTEL","Carbon","7440","41.05413","-107.26609","140500030109	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"26","25","11","39","2018","2016","16"
"Beagle Springs","318	","Montana","SNOTEL","Beaverhead","8850","44.47147","-112.98191","100200010501	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","22",,,"92","96","81","51","50","-1","44","11","5",,,,"24","23","17","32","2021","2011","19"
"Bear Basin","319	","Idaho","SNOTEL","Adams","5350","44.95222","-116.14293","170602100104	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","29",,,"81","81","76","51","50","-7","15","18","4",,,,"36","36","22","59","2014","2006","21"
"Bear Canyon","320	","Idaho","SNOTEL","Custer","7900","43.74367","-113.93797","170402180101	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","37",,,"116","123","64","62","62","7","82","3","10",,,,"32","30","22","43","2014","2017","12"
"Bear Creek","321	","Nevada","SNOTEL","Elko","8040","41.83384","-115.45278","170501020301	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","27",,,"79","79","71","42","41","-7","31","10","5",,,,"34","34","18","52","2012","2016","14"
"Bear Flat Meadow AM","1291	","Oregon","SNOLITE","Lake","6580","42.41655","-120.47043","171200060105	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","14",,,"78","78","67","38","54","-4","33","3","2","2nd Lowest",,,"18","18","6","30","2021","2019","4"
"Bear Grass","1166	","Oregon","SNOTEL","Linn","4720","44.3253","-122.0938","170900040203	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","76",,,"125","110","68","63","59","7","60","5","7",,,,"61","69","13","91","2015","2017","11"
"Bear Lake","322	","Colorado","SNOTEL","Larimer","9500","40.31176","-105.6467","101900060201	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","35",,,"100","100","66","51","52","0","62","7","9",,,,"35","35","20","56","2013","2017","17"
"Bear Mountain","323	","Idaho","SNOTEL","Bonner","5400","48.30577","-116.07448","170102131202	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","92",,,"103","105","86","63","65","4","63","8","13",,,,"89","88","61","125","2015","2000","20"
"Bear River","1061	","Colorado","SNOTEL","Routt","9080","40.06153","-107.00955","140500010102	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","21",,,"81","81","81","36","44","-5","29","13","4",,,,"26","26","18","36","2012","2011","18"
"Bear River RS","992	","Utah","SNOTEL","Summit","8777","40.8852","-110.8277","160101010106	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","20",,,"83","91","69","53","59","-2","36","8","5",,,,"24","22","15","41","2012","2011","12"
"Bear Saddle","324	","Idaho","SNOTEL","Washington","6180","44.60533","-116.98097","170501241001	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","39",,,"91","98","76","58","66","-1","44","6","4",,,,"43","40","17","73","2014","2016","10"
"Bear Trap Meadow","325	","Wyoming","SNOTEL","Johnson","8200","43.88743","-107.06135","100902010205	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","13",,,"65","65","93","35","34","-7","17","16","1","Lowest",,,"20","20","13","29","2010, 2021, 2022, more","2008","19"
"Beartooth Lake","326	","Wyoming","SNOTEL","Park","9360","44.94307","-109.56743","100700060206	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","42",,,"81","81","81","50","52","-10","28","14","5",,,,"52","52","37","87","2010","2018","19"
"Beartown","327	","Colorado","SNOTEL","Mineral","11600","37.71409","-107.51212","130100010104	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","35",,,"81","80","78","44","46","-9","29","16","6",,,,"43","44","10","85","2018","2005","22"
"Beaver Ck Village","1041	","Colorado","SNOTEL","Eagle","8500","39.59917","-106.51142","140100030301	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"27","29","12","37","2018","2006","18"
"Beaver Creek","328	","Montana","SNOTEL","Gallatin","7850","44.94966","-111.35852","100200070402	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"38","39","21","54","2021","2006, 2011","19"
"Beaver Dams","329	","Utah","SNOTEL","Sanpete","7990","39.13683","-111.55813","160300040402	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","21",,,"91","88","64","52","55","-3","41","11","8",,,,"23","24","8","39","2018","2006","18"
"Beaver Divide","330	","Utah","SNOTEL","Summit","8280","40.61233","-111.09782","160202030105	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","35",,,"117","130","88","76","83","8","70","7","15",,,,"30","27","16","50","2021","2017","21"
"Beaver Head","902	","Arizona","SNOTEL","Greenlee","7990","33.69144","-109.21657","150601010107	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","2",,,"25","25","22","10","11","-6","20","17","4",,,,"8","8","0","18","2017, 2021","2010","21"
"Beaver Pass","990	","Washington","SNOTEL","Whatcom","3630","48.8793","-121.2555","171100050605	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"68","66","33","105","2005","2007","20"
"Beaver Reservoir","331	","Oregon","SNOTEL","Union","5150","45.14532","-118.219","170601040301	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","26",,,"113","118","63","67","67","4","76","5","12",,,,"23","22","14","36","2015","2006","18"
"Beaver Spring","1143	","Arizona","SNOTEL","Apache","9200","36.32678","-109.05711","140802040401	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","22",,,"122","110","71","61","69","2","58","6","8",,,,"18","20","2","31","2018","2016","13"
"Ben Lomond Peak","332	","Utah","SNOTEL","Weber","7689","41.37603","-111.94405","160201020302	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","40",,,"71","87","83","43","44","-6","33","17","8",,,,"56","46","28","109","2000","1998","25"
"Ben Lomond Trail","333	","Utah","SNOTEL","Weber","5972","41.38291","-111.92103","160201020302	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","29",,,"74","83","78","47","50","-6","30","15","7",,,,"39","35","17","66","2018","2017","21"
"Berry Creek","334	","Nevada","SNOTEL","White Pine","9377","39.31917","-114.62278","160600081301	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","34",,,"113","121","83","56","55","6","78","6","19",,,,"30","28","11","61","2012","2005","24"
"Berthoud Summit","335	","Colorado","SNOTEL","Grand","11300","39.80392","-105.77789","140100010202	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","36",,,"90","88","80","48","46","-5","37","13","7",,,,"40","41","25","61","2012","2006","20"
"Bettles FAA Airport","0761	","Alaska","ACIS","Yukon-Koyukuk","640","66.91666","-151.51666","190901012604	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST",,,,,,,,,,,,,,,,"25","23","4","57","1961","1968","69"
"Bettles Field","1182	","Alaska","SNOTEL","Yukon-Koyukuk","640","66.91667","-151.53333","190901012604	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","32",,,"133","114","89","94","91","4","100","1","9","Highest",,,"24","28","11","32","2015","2018, 2022","10"
"Bevans Cabin","1214	","Utah","SNOTEL","Tooele","6520","40.46182","-112.25233","160203040401	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","12",,,"75","71","67","34","34","-5","22","8","3",,,,"16","17","5","27","2021","2016","10"
"Big Bend","336	","Nevada","SNOTEL","Elko","6898","41.76168","-115.6931","170501040104	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","16",,,"80","89","76","52","48","-2","33","15","7",,,,"20","18","4","38","2018","2017","22"
"Big Creek Sum","337	","Nevada","SNOTEL","Lander","8685","39.29148","-117.11506","160401070303	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","22",,,"76","79","81","34","33","-6","22","15","4",,,,"29","28","4","53","2012","2016","19"
"Big Creek Summit","338	","Idaho","SNOTEL","Valley","6560","44.62621","-115.79561","170602080402	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","58",,,"97","100","78","62","62","0","52","11","9",,,,"60","58","44","101","2001","2006","22"
"Big Flat","339	","Utah","SNOTEL","Beaver","10349","38.30183","-112.35672","160300070202	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","53",,,"139","139","75","72","74","15","80","6","21",,,,"38","38","13","68","2018","2011","26"
"Big Goose","931	","Wyoming","SNOTEL","Sheridan","7990","44.57924","-107.20068","100901010103	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","12",,,"63","63","100","26","28","-7","4","23","2","2nd Lowest",,,"19","19","11","29","2016","2012","24"
"Big Meadow","340	","Nevada","SNOTEL","Washoe","8235","39.455","-119.9422","160501020505	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","50",,,"139","132","67","70","76","12","80","4","13",,,,"36","38","2","88","2012","2017","16"
"Big Red Mountain","341	","Oregon","SNOTEL","Jackson","6050","42.05257","-122.85487","171003090301	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","36",,,"90","95","69","47","46","-2","40","13","9",,,,"40","38","2","78","2018","2017","21"
"Big Sandy Opening","342	","Wyoming","SNOTEL","Sublette","9080","42.6458","-109.25965","140401040101	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","28",,,"85","90","70","51","52","-3","20","17","5",,,,"33","31","21","49","2021","2017","21"
"Big Sheep AM","1229	","Oregon","SNOLITE","Wallowa","6240","45.16842","-117.08631","170601020301	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","40",,,"108","105","77","62","63","2","78","3","7",,,,"37","38","22","54","2018","2016","10"
"Bigelow Camp","343	","Oregon","SNOTEL","Josephine","5130","42.07875","-123.34393","171003090105	","January 19, 2022, end of day ","1-20-2022, 06:58 AM MST","32",,,"139","160","57","59","56","12","71","6","13",,,,"23","20","0","64","2014, 2015","2017","18"
